date,type,iniyear,inimonth,iniday,initime,finyear,finmonth,finday,fintime,duration,le,cs
2/10/2018,W,2018,10,2,15,2018,10,3,3,5,0,1
15/10/2018,SW,2018,10,15,15,2018,10,15,21,3,0,1
16/10/2018,W,2018,10,16,3,2018,10,16,6,2,0,1
18/10/2018,NW,2018,10,18,0,2018,10,18,9,4,1,1
20/10/2018,SW,2018,10,20,9,2018,10,20,18,4,1,1
23/10/2018,LWT,2018,10,23,3,2018,10,24,15,14,1,1
27/10/2018,COL,2018,10,27,18,2018,10,28,18,9,1,1
31/10/2018,SW,2018,10,31,12,2018,10,31,18,3,0,1
3/11/2018,SW,2018,11,3,9,2018,11,4,0,6,1,1
5/11/2018,SW,2018,11,5,9,2018,11,5,12,2,0,1
5/11/2018,SW,2018,11,5,15,2018,11,5,18,2,0,1
6/11/2018,SW,2018,11,6,6,2018,11,6,6,1,0,1
6/11/2018,SW,2018,11,6,9,2018,11,6,12,2,0,1
6/11/2018,SW,2018,11,6,15,2018,11,7,9,7,0,1
7/11/2018,SW,2018,11,7,15,2018,11,8,3,5,1,1
8/11/2018,W,2018,11,8,6,2018,11,8,12,3,1,1
10/11/2018,SW,2018,11,10,3,2018,11,10,18,6,1,1
14/11/2018,SW,2018,11,14,3,2018,11,14,12,4,1,1
16/11/2018,SW,2018,11,16,6,2018,11,16,6,1,0,1
16/11/2018,COL,2018,11,16,21,2018,11,17,3,3,0,1
20/11/2018,NW,2018,11,20,15,2018,11,20,18,2,0,1
21/11/2018,NW,2018,11,21,15,2018,11,22,21,11,1,1
25/11/2018,SW,2018,11,25,3,2018,11,25,15,5,0,1
26/11/2018,COL,2018,11,26,9,2018,11,27,15,11,0,1
30/11/2018,W,2018,11,30,6,2018,11,30,9,2,1,1
30/11/2018,W,2018,11,30,15,2018,11,30,18,2,1,1
2/12/2018,SW,2018,12,2,15,2018,12,3,3,5,0,1
3/12/2018,SW,2018,12,3,6,2018,12,3,15,4,1,1
6/12/2018,W,2018,12,6,9,2018,12,7,6,8,1,1
8/12/2018,NW,2018,12,8,15,2018,12,8,18,2,1,1
11/12/2018,NW,2018,12,11,18,2018,12,12,9,6,1,1
13/12/2018,COL,2018,12,13,3,2018,12,13,21,7,1,1
16/12/2018,COL,2018,12,16,12,2018,12,16,15,2,1,1
17/12/2018,NW,2018,12,17,12,2018,12,18,12,9,1,1
21/12/2018,SW,2018,12,21,9,2018,12,22,9,9,0,1
22/12/2018,W,2018,12,22,15,2018,12,22,21,3,0,1
24/12/2018,NW,2018,12,24,15,2018,12,25,6,6,1,1
29/12/2018,SW,2018,12,29,6,2018,12,29,9,2,0,1
29/12/2018,W,2018,12,29,15,2018,12,20,0,4,1,1
30/12/2018,W,2018,12,30,6,2018,12,30,12,3,0,1
1/1/2019,SW,2019,1,1,6,2019,1,1,15,4,0,1
2/1/2019,W,2019,1,2,9,2019,1,2,15,3,0,1
3/1/2019,W,2019,1,3,6,2019,1,3,12,3,0,1
4/1/2019,W,2019,1,4,3,2019,1,4,3,1,0,1
6/1/2019,NW,2019,1,6,3,2019,1,6,6,2,0,1
6/1/2019,NW,2019,1,6,12,2019,1,7,3,6,1,1
8/1/2019,SW,2019,1,8,3,2019,1,8,6,2,0,1
9/1/2019,LWT,2019,1,9,0,2019,1,9,0,1,0,1
9/1/2019,LWT,2019,1,9,6,2019,1,10,3,8,1,1
10/1/2019,NW,2019,1,10,9,2019,1,11,0,6,1,1
20/1/2019,LWT,2019,1,20,6,2019,1,20,18,5,0,1
20/1/2019,LWT,2019,1,20,21,2019,1,21,21,9,0,1
23/1/2019,SW,2019,1,23,15,2019,1,23,15,1,0,1
24/1/2019,SW,2019,1,24,18,2019,1,25,3,4,0,1
25/1/2019,LWT,2019,1,25,12,2019,1,25,18,3,1,1
27/1/2019,LWT,2019,1,27,9,2019,1,27,18,4,1,1
29/1/2019,SW,2019,1,29,12,2019,1,29,15,2,1,1
30/1/2019,LWT,2019,1,30,0,2019,1,31,0,9,1,1
7/2/2019,SW,2019,2,7,21,2019,2,8,3,3,0,1
8/2/2019,LWT,2019,2,8,15,2019,2,9,18,10,0,1
13/2/2019,SW,2019,2,13,0,2019,2,13,6,3,0,1
13/2/2019,COL,2019,2,13,9,2019,2,14,3,7,0,1
15/2/2019,LWT,2019,2,15,18,2019,2,16,15,8,1,1
18/2/2019,W,2019,2,18,3,2019,2,18,18,6,0,1
19/2/2019,W,2019,2,19,12,2019,2,19,18,3,0,1
24/2/2019,LWT,2019,2,24,15,2019,2,24,18,2,0,1
25/2/2019,COL,2019,2,25,12,2019,2,25,15,2,0,1
25/2/2019,NW,2019,2,25,18,2019,2,26,0,3,1,1
28/2/2019,W,2019,2,28,3,2019,2,28,12,4,0,1
2/3/2019,SW,2019,3,2,18,2019,3,3,6,5,0,1
4/3/2019,LWT,2019,3,4,12,2019,3,4,18,3,1,1
4/3/2019,LWT,2019,3,4,21,2019,3,5,0,2,1,1
5/3/2019,LWT,2019,3,5,21,2019,3,6,15,7,1,1
7/3/2019,NW,2019,3,7,6,2019,3,7,18,5,1,1
10/3/2019,LWT,2019,3,10,6,2019,3,10,6,1,0,1
10/3/2019,SW,2019,3,10,15,2019,3,11,3,5,0,1
11/3/2019,LWT,2019,3,11,12,2019,3,12,3,6,0,1
15/3/2019,LWT,2019,3,15,6,2019,3,16,3,8,0,1
16/3/2019,LWT,2019,3,16,6,2019,3,17,0,7,1,1
19/3/2019,NW,2019,3,19,3,2019,3,19,21,7,1,1
22/3/2019,COL,2019,3,22,12,2019,3,23,0,5,0,1
23/3/2019,NW,2019,3,23,9,2019,3,23,18,4,1,1
26/3/2019,NW,2019,3,26,9,2019,3,26,15,3,0,1
31/3/2019,LWT,2019,3,31,9,2019,3,31,12,2,0,1
5/10/2017,W,2017,10,5,3,2017,10,5,12,4,0,2
8/10/2017,SW,2017,10,8,6,2017,10,8,12,3,0,2
9/10/2017,SW,2017,10,9,6,2017,10,6,9,2,0,2
9/10/2017,SW,2017,10,9,12,2017,10,9,18,3,0,2
11/10/2017,W,2017,10,11,21,2017,10,12,9,5,0,2
16/10/2017,SW,2017,10,16,0,2017,10,6,6,3,0,2
16/10/2017,W,2017,10,16,12,2017,10,17,0,5,0,2
18/10/2017,SW,2017,10,18,31,2017,10,9,6,6,0,2
24/10/2017,LWT,2017,10,24,6,2017,10,24,9,2,0,2
31/10/2017,SW,2017,10,31,12,2017,10,31,18,3,1,2
3/11/2017,SW,2017,11,3,6,2017,11,3,9,2,0,2
6/11/2017,SW,2017,11,6,0,2017,11,6,12,5,0,2
10/11/2017,LWT,2017,11,10,0,2017,11,10,9,4,1,2
14/11/2017,NW,2017,11,14,18,2017,11,15,0,3,1,2
16/11/2017,LWT,2017,11,16,3,2017,11,16,12,4,0,2
16/11/2017,W,2017,11,16,15,2017,11,17,0,4,1,2
17/11/2017,W,2017,11,17,3,2017,11,17,9,3,1,2
18/11/2017,SW,2017,11,18,9,2017,11,18,9,1,0,2
18/11/2017,LWT,2017,11,18,21,2017,11,19,15,7,0,2
19/11/2017,LWT,2017,11,19,21,2017,11,20,6,4,1,2
22/11/2017,SW,2017,11,22,6,2017,11,22,21,6,0,2
25/11/2017,SW,2017,11,25,12,2017,11,25,18,3,0,2
25/11/2017,W,2017,11,25,21,2017,11,26,12,6,0,2
27/11/2017,NW,2017,11,27,3,2017,11,27,9,3,1,2
29/11/2017,W,2017,11,29,12,2017,11,29,18,3,0,2
30/11/2017,W,2017,11,30,21,2017,12,1,9,5,0,2
3/12/2017,NW,2017,12,3,12,2017,12,3,21,4,1,2
5/12/2017,SW,2017,12,5,21,2017,12,6,3,3,0,2
6/12/2017,LWT,2017,12,6,21,2017,12,7,6,4,1,2
7/12/2017,SW,2017,12,7,18,2017,12,8,0,3,1,2
8/12/2017,SW,2017,12,8,12,2017,12,8,18,3,1,2
10/12/2017,W,2017,12,10,0,2017,12,10,9,4,1,2
11/12/2017,W,2017,12,11,6,2017,12,11,12,3,1,2
12/12/2017,LWT,2017,12,12,15,2017,12,13,18,10,1,2
14/12/2017,NW,2017,12,14,12,2017,12,14,18,3,1,2
15/12/2017,W,2017,12,15,21,2017,12,16,15,6,1,2
25/12/2017,SW,2017,12,25,3,2017,12,25,15,5,1,2
25/12/2017,LWT,2017,12,25,21,2017,12,26,3,4,1,2
29/12/2017,LWT,2017,12,29,6,2017,12,30,3,8,1,2
31/12/2017,SW,2017,12,31,12,2017,12,31,18,3,0,2
1/1/2018,NW,2018,1,1,18,2018,1,2,6,5,1,2
4/1/2018,LWT,2018,1,4,12,2018,1,6,15,19,1,2
8/1/2018,W,2018,1,8,15,2018,1,9,6,6,1,2
13/1/2018,SW,2018,1,13,9,2018,1,13,12,2,0,2
14/1/2018,W,2018,1,14,3,2018,1,14,12,4,0,2
15/1/2018,SW,2018,1,15,18,2018,1,16,0,3,1,2
16/1/2018,SW,2018,1,16,3,2018,1,17,18,14,1,2
19/1/2018,NW,2018,1,19,0,2018,1,19,9,4,0,2
23/1/2018,SW,2018,1,23,9,2018,1,23,15,3,0,2
23/1/2018,SW,2018,1,23,18,2018,1,24,3,4,0,2
25/1/2018,NW,2018,1,25,9,2018,1,25,9,1,0,2
30/1/2018,W,2018,1,30,15,2018,1,31,6,6,1,2
1/2/2018,W,2018,2,1,21,2018,2,2,15,7,1,2
5/2/2018,W,2018,2,5,6,2018,2,5,12,3,1,2
7/2/2018,SW,2018,2,7,21,2018,2,8,6,4,0,2
9/2/2018,W,2018,2,9,12,2018,2,9,15,2,1,2
12/2/2018,SW,2018,2,12,3,2018,2,12,12,4,0,2
14/2/2018,W,2018,2,14,9,2018,2,14,12,2,0,2
14/2/2018,SW,2018,2,14,21,2018,2,15,0,2,0,2
15/2/2018,SW,2018,2,15,3,2018,2,15,6,2,0,2
16/2/2018,W,2018,2,16,15,2018,2,16,21,3,0,2
18/2/2018,W,2018,2,18,3,2018,2,18,12,4,0,2
20/2/2018,SW,2018,2,20,21,2018,2,21,0,2,0,2
25/2/2018,SW,2018,2,25,18,2018,2,25,18,1,0,2
26/2/2018,W,2018,2,26,12,2018,2,26,18,3,0,2
4/3/2018,COL,2018,3,4,12,2018,3,6,12,17,0,2
5/3/2018,W,2018,3,5,18,2018,3,6,12,7,0,2
7/3/2018,LWT,2018,3,7,6,2018,3,7,3,2,0,2
8/3/2018,LWT,2018,3,8,0,2018,3,8,9,4,0,2
12/3/2018,COL,2018,3,12,18,2018,3,14,3,12,0,2
15/3/2018,NW,2018,3,15,15,2018,3,16,21,11,0,2
23/3/2018,NW,2018,3,23,9,2018,3,23,15,3,0,2
24/3/2018,LWT,2018,3,24,15,2018,3,25,18,10,0,2
4/10/2014,LWT,2014,10,4,15,2014,10,5,12,8,0,5
5/10/2014,SW,2014,10,5,21,2014,10,6,6,4,0,5
7/10/2014,SW,2014,10,7,7,2014,10,7,15,3,0,5
8/10/2014,LWT,2014,10,8,3,2014,10,8,21,7,0,5
9/10/2014,LWT,2014,10,9,18,2014,10,10,0,3,0,5
11/10/2014,W,2014,10,11,12,2014,10,12,3,6,0,5
7/10/2014,SW,2014,10,7,9,2014,10,7,15,3,0,5
8/10/2014,SW,2014,10,8,6,2014,10,8,15,4,0,5
20/10/2014,SW,2014,10,20,15,2014,10,20,18,2,0,5
21/10/2014,COL,2014,10,21,3,2014,10,22,3,9,0,5
24/10/2014,W,2014,10,24,21,2014,10,25,6,4,0,5
25/10/2014,LWT,2014,10,25,18,2014,10,26,6,5,0,5
26/10/2014,NW,2014,10,26,9,2014,10,26,15,3,0,5
29/10/2014,W,2014,10,29,18,2014,10,30,9,6,0,5
1/11/2014,NW,2014,11,1,15,2014,11,2,21,11,1,5
5/11/2014,SW,2014,11,5,9,2014,11,5,15,3,0,5
6/11/2014,W,2014,11,6,15,2014,11,7,6,6,0,5
7/11/2014,NW,2014,11,7,9,2014,11,8,3,7,1,5
8/11/2014,LWT,2014,11,8,15,2014,11,9,6,6,0,5
9/11/2014,SW,2014,11,9,9,2014,11,10,0,6,1,5
12/11/2014,SW,2014,11,12,12,2014,11,12,15,2,0,5
13/11/2014,W,2014,11,13,21,2014,11,14,18,8,1,5
14/11/2014,NW,2014,11,14,21,2014,11,15,6,4,1,5
15/11/2014,W,2014,11,15,15,2014,11,15,21,3,1,5
18/11/2014,W,2014,11,18,0,2014,11,19,3,10,1,5
19/11/2014,W,2014,11,19,6,2014,11,19,12,3,1,5
21/11/2014,W,2014,11,21,0,2014,11,21,15,6,1,5
22/11/2014,W,2014,11,22,18,2014,11,22,21,2,0,5
24/11/2014,SW,2014,11,24,9,2014,11,24,18,4,0,5
25/11/2014,SW,2014,11,25,15,2014,11,26,3,5,1,5
26/11/2014,SW,2014,11,26,18,2014,11,27,6,5,0,5
28/11/2014,W,2014,11,28,0,2014,11,28,15,6,1,5
30/11/2014,W,2014,11,30,0,2014,11,30,6,3,0,5
2/12/2014,SW,2014,12,2,21,2014,12,3,3,3,1,5
3/12/2014,W,2014,12,3,18,2014,12,4,3,4,1,5
6/12/2014,W,2014,12,6,9,2014,12,6,21,5,0,5
9/12/2014,COL,2014,12,9,6,2014,12,10,6,9,0,5
10/12/2014,COL,2014,12,10,18,2014,12,12,13,19,0,5
16/12/2014,COL,2014,12,16,18,2014,12,17,15,8,0,5
18/12/2014,NW,2014,12,18,9,2014,12,18,15,3,0,5
19/12/2014,COL,2014,12,19,6,2014,12,20,0,7,1,5
21/12/2014,SW,2014,12,21,9,2014,12,22,0,6,0,5
22/12/2014,SW,2014,12,22,15,2014,12,23,0,4,0,5
23/12/2014,SW,2014,12,23,6,2014,12,23,9,2,1,5
24/12/2014,SW,2014,12,24,9,2014,12,24,15,3,0,5
25/12/2014,SW,2014,12,25,6,2014,12,25,18,5,0,5
31/12/2014,NW,2014,12,31,9,2014,12,31,15,3,1,5
1/1/2015,W,2015,1,1,0,2015,1,1,12,5,1,5
4/1/2015,SW,2015,1,4,0,2015,1,4,3,2,1,5
4/1/2015,SW,2015,1,4,9,2015,1,4,15,3,0,5
5/1/2015,W,2015,1,5,9,2015,1,5,15,3,1,5
5/1/2015,W,2015,1,5,21,2015,1,6,0,2,0,5
6/1/2015,W,2015,1,6,9,2015,1,6,21,5,1,5
7/1/2015,NW,2015,1,7,9,2015,1,7,18,4,1,5
7/1/2015,LWT,2015,1,7,18,2015,1,7,18,1,1,5
8/1/2015,NW,2015,1,8,6,2015,1,8,12,3,1,5
9/1/2015,LWT,2015,1,9,6,2015,1,11,0,7,1,5
10/1/2015,W,2015,1,10,6,2015,1,10,9,2,0,5
10/1/2015,W,2015,1,10,12,2015,1,10,15,2,0,5
11/1/2015,W,2015,1,11,3,2015,1,11,3,1,0,5
13/1/2015,W,2015,1,13,0,2015,1,13,12,5,0,5
15/1/2015,LWT,2015,1,15,18,2015,1,16,0,3,1,5
16/1/2015,NW,2015,1,16,12,2015,1,17,3,6,0,5
18/1/2015,SW,2015,1,18,15,2015,1,19,12,10,0,5
19/1/2015,NW,2015,1,19,21,2015,1,20,3,3,1,5
21/1/2015,W,2015,1,21,18,2015,1,22,9,6,0,5
22/1/2015,NW,2015,1,22,21,2015,1,23,3,3,0,5
2/2/2015,NW,2015,2,2,6,2015,2,3,0,7,0,5
3/2/2015,NW,2015,2,3,15,2015,2,3,21,3,1,5
5/2/2015,NW,2015,2,5,6,2015,2,6,0,7,1,5
6/2/2015,NW,2015,2,6,9,2015,2,6,18,4,1,5
16/2/2015,W,2015,2,16,12,2015,2,17,0,5,0,5
17/2/2015,SW,2015,2,17,9,2015,2,17,15,3,0,5
17/2/2015,SW,2015,2,17,21,2015,2,18,3,3,0,5
19/2/2015,COL,2015,2,19,0,2015,2,20,18,15,1,5
23/2/2015,NW,2015,2,23,0,2015,2,24,0,9,0,5
27/2/2015,W,2015,2,27,3,2015,2,28,3,9,0,5
28/2/2015,W,2015,2,28,21,2015,2,1,6,4,0,5
2/3/2015,SW,2015,3,2,0,2015,3,2,3,2,1,5
5/3/2015,W,2015,3,5,21,2015,3,6,6,4,0,5
5/3/2015,W,2015,3,5,21,2015,3,6,6,4,0,5
7/3/2015,SW,2015,3,7,0,2015,3,7,6,3,1,5
7/3/2015,NW,2015,3,7,21,2015,3,8,3,3,0,5
8/3/2015,W,2015,3,8,12,2015,3,8,21,4,0,5
9/3/2015,W,2015,3,9,6,2015,3,9,15,4,1,5
14/3/2015,COL,2015,3,14,21,2015,3,15,15,7,0,5
17/3/2015,NW,2015,3,17,15,2015,3,18,9,7,0,5
20/3/2015,NW,2015,3,20,6,2015,3,20,21,6,0,5
21/3/2015,W,2015,3,21,12,2015,3,22,3,6,0,5
25/3/2015,SW,2015,3,25,18,2015,3,25,21,2,0,5
7/3/2015,NW,2015,3,7,18,2015,3,29,3,12,0,5
30/3/2015,LWT,2015,3,30,6,2015,3,31,6,9,0,5
31/3/2015,NW,2015,3,31,12,2015,3,31,18,3,0,5
9/10/2015,W,2015,10,9,18,2015,10,9,21,2,0,4
13/10/2015,W,2015,10,13,15,2015,10,14,0,4,0,4
16/10/2015,LWT,2015,10,16,0,2015,10,16,9,4,0,4
20/10/2015,W,2015,10,20,6,2015,10,20,6,1,0,4
21/10/2015,W,2015,10,21,21,2015,10,22,0,2,0,4
23/10/2015,NW,2015,10,23,0,2015,10,23,9,4,0,4
29/10/2015,LWT,2015,10,29,18,2015,10,29,21,2,1,4
1/11/2015,SW,2015,11,1,12,2015,11,1,21,4,0,4
8/11/2015,W,2015,11,8,0,2015,11,8,3,2,0,4
12/11/2015,W,2015,11,12,21,2015,11,13,0,2,0,4
13/11/2015,NW,2015,11,13,18,2015,11,14,0,3,1,4
20/11/2015,SW,2015,11,20,12,2015,11,20,18,3,0,4
22/11/2015,LWT,2015,11,22,6,2015,11,22,12,2,0,4
4/12/2015,NW,2015,12,4,12,2015,12,4,12,2,0,4
10/12/2015,W,2015,12,10,3,2015,12,10,9,3,0,4
15/12/2015,W,2015,12,15,0,2015,12,15,12,5,0,4
19/12/2015,W,2015,12,19,9,2015,12,19,9,3,1,4
21/12/2015,SW,2015,12,21,21,2015,12,22,0,2,0,4
31/12/2015,SW,2015,12,31,15,2015,12,31,18,2,1,4
1/1/2016,NW,2016,1,1,18,2016,1,2,0,3,1,4
2/1/2016,NW,2016,1,2,15,2016,1,2,15,1,1,4
3/1/2016,W,2016,1,3,15,2016,1,4,0,4,1,4
10/1/2016,LWT,2016,1,10,21,2016,1,11,0,2,0,4
11/1/2016,LWT,2016,1,11,3,2016,1,11,18,6,1,4
12/1/2016,LWT,2016,1,12,21,2016,1,13,6,4,1,4
13/1/2016,LWT,2016,1,13,6,2016,1,13,9,2,1,4
16/1/2016,SW,2016,1,16,12,2016,1,16,15,2,0,4
18/1/2016,LWT,2016,1,18,3,2016,1,18,9,3,1,4
18/1/2016,LWT,2016,1,18,18,2016,1,19,6,5,1,4
27/1/2016,W,2016,1,27,9,2016,1,27,15,3,1,4
5/2/2016,W,2016,2,5,3,2016,2,5,18,6,0,4
6/2/2016,W,2016,2,6,12,2016,2,6,18,3,1,4
10/2/2016,SW,2016,2,10,3,2016,2,10,12,4,1,4
11/2/2016,W,2016,2,11,3,2016,2,11,21,7,1,4
13/2/2016,NW,2016,2,13,9,2016,2,14,0,6,0,4
15/2/2016,SW,2016,2,15,12,2016,2,15,18,3,1,4
16/2/2016,SW,2016,2,16,12,2016,2,17,0,5,0,4
17/2/2016,W,2016,2,17,15,2016,2,17,21,3,0,4
20/2/2016,W,2016,2,20,15,2016,2,20,21,3,0,4
21/2/2016,W,2016,2,21,0,2016,2,21,6,3,0,4
25/2/2016,W,2016,2,25,15,2016,2,26,0,4,0,4
26/2/2016,NW,2016,2,26,6,2016,2,26,15,4,1,4
29/2/2016,W,2016,2,29,12,2016,2,29,15,2,0,4
1/3/2016,W,2016,3,1,0,2016,3,1,6,3,1,4
2/3/2016,SW,2016,3,2,6,2016,3,2,15,4,1,4
4/3/2016,W,2016,3,4,6,2016,3,4,12,3,1,4
5/3/2016,NW,2016,3,5,15,2016,3,5,21,3,0,4
6/3/2016,NW,2016,3,6,3,2016,3,6,9,3,0,4
11/3/2016,W,2016,3,11,6,2016,3,11,9,2,0,4
15/3/2016,SW,2016,3,15,9,2016,3,15,21,5,0,4
16/3/2016,LWT,2016,3,16,21,2016,3,17,9,5,0,4
18/3/2016,LWT,2016,3,18,0,2016,3,18,9,4,1,4
20/3/2016,SW,2016,3,20,12,2016,3,21,6,7,0,4
21/3/2016,W,2016,3,21,9,2016,3,22,0,6,0,4
5/3/2016,SW,2016,3,5,12,2016,3,26,0,5,0,4
28/3/2016,W,2016,3,28,12,2016,3,29,3,6,0,4
29/3/2016,NW,2016,3,29,9,2016,3,29,18,4,0,4
31/3/2016,SW,2016,3,31,15,2016,3,31,21,3,0,4
2/10/2016,COL,2016,10,2,9,2016,10,3,12,10,0,3
8/10/2016,LWT,2016,10,8,15,2016,10,8,18,2,0,3
9/10/2016,W,2016,10,9,6,2016,10,9,18,5,0,3
13/10/2016,W,2016,10,13,12,2016,10,13,21,4,0,3
16/10/2016,W,2016,10,16,18,2016,10,16,21,2,0,3
18/10/2016,NW,2016,10,18,0,2016,10,18,0,1,0,3
21/10/2016,COL,2016,10,21,15,2016,10,3,6,14,0,3
24/10/2016,NW,2016,10,24,0,2016,10,24,6,3,0,3
24/10/2016,NW,2016,10,24,12,2016,10,24,18,3,0,3
27/10/2016,COL,2016,10,27,18,2016,10,28,12,7,1,3
30/10/2016,NW,2016,10,30,21,2016,10,31,12,6,0,3
4/11/2016,NW,2016,11,4,0,2016,11,4,3,2,0,3
9/11/2016,NW,2016,11,9,6,2016,11,9,9,5,0,3
11/11/2016,NW,2016,11,11,9,2016,11,11,21,5,0,3
16/11/2016,W,2016,11,16,18,2016,11,17,9,6,0,3
20/11/2016,COL,2016,11,20,0,2016,11,21,0,9,0,3
24/11/2016,W,2016,11,24,21,2016,11,25,3,3,0,3
1/12/2016,SW,2016,12,1,6,2016,12,1,12,3,0,3
2/12/2016,NW,2016,12,2,15,2016,12,2,21,3,1,3
5/12/2016,SW,2016,12,5,6,2016,12,5,21,6,1,3
6/12/2016,SW,2016,12,6,21,2016,12,7,3,3,0,3
12/12/2016,W,2016,12,12,9,2016,12,12,18,4,1,3
15/12/2016,LWT,2016,12,15,9,2016,12,15,12,2,1,3
18/12/2016,W,2016,12,18,18,2016,12,19,3,4,1,3
